Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
(three <nummod times) <obl:unmarked as <advmod large >advcl (as <mark it <nsubj was <cop in <case the <det whole <amod United <amod States)	three	times	as	large	as	it	was	in	the	whole	United	States																						1	4.7	ABCDEFGHIJKL	"pattern {D [form=""large""]; B [form=""times""]; A [form=""three""]; C [form=""as""]; L [form=""States""]; E [form=""as""]; F [form=""it""]; G [form=""was""]; H [form=""in""]; I [form=""the""]; J [form=""whole""]; K [form=""United""]; D -[obl:unmarked]-> B; B -[nummod]-> A; D -[advmod]-> C; D -[advcl]-> L; L -[mark]-> E; L -[nsubj]-> F; L -[cop]-> G; L -[case]-> H; L -[det]-> I; L -[amod]-> J; L -[amod]-> K; D >> B; B >> A; D >> C; D << L; L >> E; L >> F; L >> G; L >> H; L >> I; L >> J; L >> K} without {D -> X0} without {B -> X1} without {A -> X2} without {C -> X3} without {L -> X4} without {E -> X5} without {F -> X6} without {G -> X7} without {H -> X8} without {I -> X9} without {J -> X10} without {K -> X11}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22large%22%5D%3B%20B%20%5Bform%3D%22times%22%5D%3B%20A%20%5Bform%3D%22three%22%5D%3B%20C%20%5Bform%3D%22as%22%5D%3B%20L%20%5Bform%3D%22States%22%5D%3B%20E%20%5Bform%3D%22as%22%5D%3B%20F%20%5Bform%3D%22it%22%5D%3B%20G%20%5Bform%3D%22was%22%5D%3B%20H%20%5Bform%3D%22in%22%5D%3B%20I%20%5Bform%3D%22the%22%5D%3B%20J%20%5Bform%3D%22whole%22%5D%3B%20K%20%5Bform%3D%22United%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20D%20-%5Badvmod%5D-%3E%20C%3B%20D%20-%5Badvcl%5D-%3E%20L%3B%20L%20-%5Bmark%5D-%3E%20E%3B%20L%20-%5Bnsubj%5D-%3E%20F%3B%20L%20-%5Bcop%5D-%3E%20G%3B%20L%20-%5Bcase%5D-%3E%20H%3B%20L%20-%5Bdet%5D-%3E%20I%3B%20L%20-%5Bamod%5D-%3E%20J%3B%20L%20-%5Bamod%5D-%3E%20K%3B%20D%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20D%20%3E%3E%20C%3B%20D%20%3C%3C%20L%3B%20L%20%3E%3E%20E%3B%20L%20%3E%3E%20F%3B%20L%20%3E%3E%20G%3B%20L%20%3E%3E%20H%3B%20L%20%3E%3E%20I%3B%20L%20%3E%3E%20J%3B%20L%20%3E%3E%20K%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BL%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D%20without%20%7BG%20-%3E%20X7%7D%20without%20%7BH%20-%3E%20X8%7D%20without%20%7BI%20-%3E%20X9%7D%20without%20%7BJ%20-%3E%20X10%7D%20without%20%7BK%20-%3E%20X11%7D	12	large	NaN	NaN	NaN	NaN	NaN	NaN
(troop >conj (and <cc police)) <compound contributing	troop	and	police	contributing																														1	4.7	ABCD	"pattern {D [form=""contributing""]; A [form=""troop""]; C [form=""police""]; B [form=""and""]; D -[compound]-> A; A -[conj]-> C; C -[cc]-> B; D >> A; A << C; C >> B} without {D -> X0} without {A -> X1} without {C -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22contributing%22%5D%3B%20A%20%5Bform%3D%22troop%22%5D%3B%20C%20%5Bform%3D%22police%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20D%20-%5Bcompound%5D-%3E%20A%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20D%20%3E%3E%20A%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	contributing	34.83	34.83	0.00	3.72	1.00	18.97
(work >conj (or <cc school)) <compound related	work	or	school	related																														1	4.7	ABCD	"pattern {D [form=""related""]; A [form=""work""]; C [form=""school""]; B [form=""or""]; D -[compound]-> A; A -[conj]-> C; C -[cc]-> B; D >> A; A << C; C >> B} without {D -> X0} without {A -> X1} without {C -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22related%22%5D%3B%20A%20%5Bform%3D%22work%22%5D%3B%20C%20%5Bform%3D%22school%22%5D%3B%20B%20%5Bform%3D%22or%22%5D%3B%20D%20-%5Bcompound%5D-%3E%20A%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20D%20%3E%3E%20A%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	related	25.29	25.29	0.00	5.98	1.00	13.23
(your <nmod:poss greatest) <amod non-fixed	your	greatest	non-fixed																															1	4.7	ABC	"pattern {C [form=""non-fixed""]; B [form=""greatest""]; A [form=""your""]; C -[amod]-> B; B -[nmod:poss]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22non-fixed%22%5D%3B%20B%20%5Bform%3D%22greatest%22%5D%3B%20A%20%5Bform%3D%22your%22%5D%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20B%20-%5Bnmod%3Aposs%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	non-fixed	22.70	22.70	0.01	6.56	1.00	11.67
10 <nummod largest	10	largest																																1	4.7	AB	"pattern {B [form=""largest""]; A [form=""10""]; B -[nummod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22largest%22%5D%3B%20A%20%5Bform%3D%2210%22%5D%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	largest	6.86	6.86	0.02	8.52	0.99	2.15
15th <advmod largest	15th	largest																																1	4.7	AB	"pattern {B [form=""largest""]; A [form=""15th""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22largest%22%5D%3B%20A%20%5Bform%3D%2215th%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	largest	11.69	11.69	0.06	9.91	1.00	5.04
4th >obl (of <case July)	4th	of	July																															1	4.7	ABC	"pattern {A [form=""4th""]; C [form=""July""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%224th%22%5D%3B%20C%20%5Bform%3D%22July%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	4th	18.50	18.50	0.00	3.22	1.00	9.14
9/11 <compound related	9/11	related																																1	4.7	AB	"pattern {B [form=""related""]; A [form=""9/11""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22related%22%5D%3B%20A%20%5Bform%3D%229/11%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	related	11.25	11.25	0.06	10.00	1.00	4.77
AFRICAN <amod AMERICAN	AFRICAN	AMERICAN																																1	4.7	AB	"pattern {B [form=""AMERICAN""]; A [form=""AFRICAN""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22AMERICAN%22%5D%3B%20A%20%5Bform%3D%22AFRICAN%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	AMERICAN	17.69	17.69	1.00	14.00	1.00	8.65
Accidentally <advmod true	Accidentally	true																																1	4.7	AB	"pattern {B [form=""true""]; A [form=""Accidentally""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22true%22%5D%3B%20A%20%5Bform%3D%22Accidentally%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	true	12.69	12.69	0.06	9.96	1.00	5.64
African <amod American >conj (and <cc White)	African	American	and	White																														1	4.7	ABCD	"pattern {B [form=""American""]; A [form=""African""]; D [form=""White""]; C [form=""and""]; B -[amod]-> A; B -[conj]-> D; D -[cc]-> C; B >> A; B << D; D >> C} without {B -> X0} without {A -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22American%22%5D%3B%20A%20%5Bform%3D%22African%22%5D%3B%20D%20%5Bform%3D%22White%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	American	25.49	25.49	0.00	3.69	1.00	13.35
African >conj Coloured >conj (and <cc Indian)	African	Coloured	and	Indian																														1	4.7	ABCD	"pattern {A [form=""African""]; B [form=""Coloured""]; D [form=""Indian""]; C [form=""and""]; A -[conj]-> B; A -[conj]-> D; D -[cc]-> C; A << B; A << D; D >> C} without {A -> X0} without {B -> X1} without {D -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22African%22%5D%3B%20B%20%5Bform%3D%22Coloured%22%5D%3B%20D%20%5Bform%3D%22Indian%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20D%3B%20D%20-%5Bcc%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BD%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	African	29.76	29.76	0.00	3.72	1.00	15.91
All <det Silver	All	Silver																																1	4.7	AB	"pattern {B [form=""Silver""]; A [form=""All""]; B -[det]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22Silver%22%5D%3B%20A%20%5Bform%3D%22All%22%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	Silver	10.11	10.11	0.04	9.30	1.00	4.09
All >appos District	All	District																																1	4.7	AB	"pattern {A [form=""All""]; B [form=""District""]; A -[appos]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22All%22%5D%3B%20B%20%5Bform%3D%22District%22%5D%3B%20A%20-%5Bappos%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	All	9.11	9.11	0.04	9.19	1.00	3.49
American >conj Islamic	American	Islamic																																1	4.7	AB	"pattern {A [form=""American""]; B [form=""Islamic""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22American%22%5D%3B%20B%20%5Bform%3D%22Islamic%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	American	8.94	8.94	0.02	8.49	1.00	3.39
Architectural >conj Surveying >conj Planning >conj (and <cc Landscape)	Architectural	Surveying	Planning	and	Landscape																													1	4.7	ABCDE	"pattern {A [form=""Architectural""]; B [form=""Surveying""]; C [form=""Planning""]; E [form=""Landscape""]; D [form=""and""]; A -[conj]-> B; A -[conj]-> C; A -[conj]-> E; E -[cc]-> D; A << B; A << C; A << E; E >> D} without {A -> X0} without {B -> X1} without {C -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Architectural%22%5D%3B%20B%20%5Bform%3D%22Surveying%22%5D%3B%20C%20%5Bform%3D%22Planning%22%5D%3B%20E%20%5Bform%3D%22Landscape%22%5D%3B%20D%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20D%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	Architectural	57.50	57.50	0.00	4.05	1.00	32.62
Asian <compound American	Asian	American																																1	4.7	AB	"pattern {B [form=""American""]; A [form=""Asian""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22American%22%5D%3B%20A%20%5Bform%3D%22Asian%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	American	8.94	8.94	0.02	8.49	1.00	3.39
Audio <compound visual	Audio	visual																																1	4.7	AB	"pattern {B [form=""visual""]; A [form=""Audio""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22visual%22%5D%3B%20A%20%5Bform%3D%22Audio%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	visual	13.37	13.37	0.17	11.42	1.00	6.05
Bayot <compound speaking	Bayot	speaking																																1	4.7	AB	"pattern {B [form=""speaking""]; A [form=""Bayot""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22speaking%22%5D%3B%20A%20%5Bform%3D%22Bayot%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	speaking	13.37	13.37	0.17	11.42	1.00	6.05
Black >conj (and <cc White)	Black	and	White																															1	4.7	ABC	"pattern {A [form=""Black""]; C [form=""White""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Black%22%5D%3B%20C%20%5Bform%3D%22White%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Black	14.55	14.55	0.00	3.30	1.00	6.76
British <compound themed	British	themed																																1	4.7	AB	"pattern {B [form=""themed""]; A [form=""British""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22themed%22%5D%3B%20A%20%5Bform%3D%22British%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	themed	12.69	12.69	0.11	10.83	1.00	5.64
Buddhist >conj Hindu >conj Muslim >conj (and <cc Christian)	Buddhist	Hindu	Muslim	and	Christian																													1	4.7	ABCDE	"pattern {A [form=""Buddhist""]; B [form=""Hindu""]; C [form=""Muslim""]; E [form=""Christian""]; D [form=""and""]; A -[conj]-> B; A -[conj]-> C; A -[conj]-> E; E -[cc]-> D; A << B; A << C; A << E; E >> D} without {A -> X0} without {B -> X1} without {C -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Buddhist%22%5D%3B%20B%20%5Bform%3D%22Hindu%22%5D%3B%20C%20%5Bform%3D%22Muslim%22%5D%3B%20E%20%5Bform%3D%22Christian%22%5D%3B%20D%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20D%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	Buddhist	46.11	46.11	0.00	4.04	1.00	25.76
Chitonga <compound speaking	Chitonga	speaking																																1	4.7	AB	"pattern {B [form=""speaking""]; A [form=""Chitonga""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22speaking%22%5D%3B%20A%20%5Bform%3D%22Chitonga%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	speaking	13.37	13.37	0.17	11.42	1.00	6.05
Clear <amod Coarse	Clear	Coarse																																1	4.7	AB	"pattern {B [form=""Coarse""]; A [form=""Clear""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22Coarse%22%5D%3B%20A%20%5Bform%3D%22Clear%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	Coarse	17.69	17.69	1.00	14.00	1.00	8.65
Color <compound coded	Color	coded																																1	4.7	AB	"pattern {B [form=""coded""]; A [form=""Color""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22coded%22%5D%3B%20A%20%5Bform%3D%22Color%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	coded	14.69	14.69	0.33	12.42	1.00	6.85
Congressional >conj (and <cc other)	Congressional	and	other																															1	4.7	ABC	"pattern {A [form=""Congressional""]; C [form=""other""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Congressional%22%5D%3B%20C%20%5Bform%3D%22other%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Congressional	14.01	14.01	0.00	3.24	1.00	6.44
Country <compound specific	Country	specific																																1	4.7	AB	"pattern {B [form=""specific""]; A [form=""Country""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22specific%22%5D%3B%20A%20%5Bform%3D%22Country%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	specific	10.20	10.20	0.05	9.64	1.00	4.14
Curl <compound Defining >conj (and <cc Soft <amod Hold)	Curl	Defining	and	Soft	Hold																													1	4.7	ABCDE	"pattern {B [form=""Defining""]; A [form=""Curl""]; E [form=""Hold""]; C [form=""and""]; D [form=""Soft""]; B -[compound]-> A; B -[conj]-> E; E -[cc]-> C; E -[amod]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22Defining%22%5D%3B%20A%20%5Bform%3D%22Curl%22%5D%3B%20E%20%5Bform%3D%22Hold%22%5D%3B%20C%20%5Bform%3D%22and%22%5D%3B%20D%20%5Bform%3D%22Soft%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20C%3B%20E%20-%5Bamod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	Defining	55.50	55.50	0.00	4.05	1.00	31.42
DNA <compound suitable	DNA	suitable																																1	4.7	AB	"pattern {B [form=""suitable""]; A [form=""DNA""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22suitable%22%5D%3B%20A%20%5Bform%3D%22DNA%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	suitable	14.69	14.69	0.33	12.42	1.00	6.85
Diagnostic >conj (and <cc Statistical)	Diagnostic	and	Statistical																															1	4.7	ABC	"pattern {A [form=""Diagnostic""]; C [form=""Statistical""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Diagnostic%22%5D%3B%20C%20%5Bform%3D%22Statistical%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Diagnostic	23.12	23.12	0.00	3.31	1.00	11.92
Dutch <compound speaking	Dutch	speaking																																1	4.7	AB	"pattern {B [form=""speaking""]; A [form=""Dutch""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22speaking%22%5D%3B%20A%20%5Bform%3D%22Dutch%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	speaking	11.56	11.56	0.12	10.91	1.00	4.96
Dynamic >conj (and <cc formal)	Dynamic	and	formal																															1	4.7	ABC	"pattern {A [form=""Dynamic""]; C [form=""formal""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Dynamic%22%5D%3B%20C%20%5Bform%3D%22formal%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Dynamic	18.95	18.95	0.00	3.31	1.00	9.41
