Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Node H1-form	Node I1-form	Node J1-form	Node K1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
agro >conj živilskimi	agro	živilskimi																																				1	3.7	AB	"pattern {A [form=""agro""]; B [form=""živilskimi""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22agro%22%5D%3B%20B%20%5Bform%3D%22%C5%BEivilskimi%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	agro	18.03	18.03	1.00	14.00	1.00	8.85
akumuliranega >nmod (v <case letih >nmod (strankarske <amod kariere))	akumuliranega	v	letih	strankarske	kariere																																	1	3.7	ABCDE	"pattern {A [form=""akumuliranega""]; C [form=""letih""]; B [form=""v""]; E [form=""kariere""]; D [form=""strankarske""]; A -[nmod]-> C; C -[case]-> B; C -[nmod]-> E; E -[amod]-> D; A << C; C >> B; C << E; E >> D} without {A -> X0} without {C -> X1} without {B -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22akumuliranega%22%5D%3B%20C%20%5Bform%3D%22letih%22%5D%3B%20B%20%5Bform%3D%22v%22%5D%3B%20E%20%5Bform%3D%22kariere%22%5D%3B%20D%20%5Bform%3D%22strankarske%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20C%20-%5Bnmod%5D-%3E%20E%3B%20E%20-%5Bamod%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20C%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	akumuliranega	50.56	50.56	0.00	3.90	1.00	28.44
akutnem >conj kratkotrajnem	akutnem	kratkotrajnem																																				1	3.7	AB	"pattern {A [form=""akutnem""]; B [form=""kratkotrajnem""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22akutnem%22%5D%3B%20B%20%5Bform%3D%22kratkotrajnem%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	akutnem	18.03	18.03	1.00	14.00	1.00	8.85
akutnim >conj (in <cc kroničnim)	akutnim	in	kroničnim																																			1	3.7	ABC	"pattern {A [form=""akutnim""]; C [form=""kroničnim""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22akutnim%22%5D%3B%20C%20%5Bform%3D%22kroni%C4%8Dnim%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	akutnim	23.52	23.52	0.00	3.05	1.00	12.16
akutno <advmod plesočem	akutno	plesočem																																				1	3.7	AB	"pattern {B [form=""plesočem""]; A [form=""akutno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22pleso%C4%8Dem%22%5D%3B%20A%20%5Bform%3D%22akutno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	plesočem	17.03	17.03	0.67	13.42	1.00	8.25
alternativnim >conj (in <cc provokativnim)	alternativnim	in	provokativnim																																			1	3.7	ABC	"pattern {A [form=""alternativnim""]; C [form=""provokativnim""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22alternativnim%22%5D%3B%20C%20%5Bform%3D%22provokativnim%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	alternativnim	23.52	23.52	0.00	3.05	1.00	12.16
ameriško >conj (in <cc avstralsko)	ameriško	in	avstralsko																																			1	3.7	ABC	"pattern {A [form=""ameriško""]; C [form=""avstralsko""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22ameri%C5%A1ko%22%5D%3B%20C%20%5Bform%3D%22avstralsko%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	ameriško	18.94	18.94	0.00	3.05	1.00	9.40
angleško <advmod govorečem	angleško	govorečem																																				1	3.7	AB	"pattern {B [form=""govorečem""]; A [form=""angleško""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22govore%C4%8Dem%22%5D%3B%20A%20%5Bform%3D%22angle%C5%A1ko%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	govorečem	14.22	14.22	0.22	11.83	1.00	6.56
angleško >conj slovenski	angleško	slovenski																																				1	3.7	AB	"pattern {A [form=""angleško""]; B [form=""slovenski""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22angle%C5%A1ko%22%5D%3B%20B%20%5Bform%3D%22slovenski%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	angleško	9.67	9.67	0.04	9.25	1.00	3.82
anglo >conj irsko	anglo	irsko																																				1	3.7	AB	"pattern {A [form=""anglo""]; B [form=""irsko""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22anglo%22%5D%3B%20B%20%5Bform%3D%22irsko%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	anglo	17.03	17.03	0.67	13.42	1.00	8.25
avstrijske >conj (in <cc druge)	avstrijske	in	druge																																			1	3.7	ABC	"pattern {A [form=""avstrijske""]; C [form=""druge""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22avstrijske%22%5D%3B%20C%20%5Bform%3D%22druge%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	avstrijske	13.56	13.56	0.00	3.02	1.00	6.16
avstrijsko >conj nemškimi	avstrijsko	nemškimi																																				1	3.7	AB	"pattern {A [form=""avstrijsko""]; B [form=""nemškimi""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22avstrijsko%22%5D%3B%20B%20%5Bform%3D%22nem%C5%A1kimi%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	avstrijsko	15.44	15.44	0.29	12.19	1.00	7.30
avstrijsko >conj slovenski	avstrijsko	slovenski																																				1	3.7	AB	"pattern {A [form=""avstrijsko""]; B [form=""slovenski""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22avstrijsko%22%5D%3B%20B%20%5Bform%3D%22slovenski%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	avstrijsko	9.89	9.89	0.04	9.27	1.00	3.95
avtomatsko >conj polavtomatsko	avtomatsko	polavtomatsko																																				1	3.7	AB	"pattern {A [form=""avtomatsko""]; B [form=""polavtomatsko""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22avtomatsko%22%5D%3B%20B%20%5Bform%3D%22polavtomatsko%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	avtomatsko	16.44	16.44	0.50	13.00	1.00	7.90
bajno <advmod bogata	bajno	bogata																																				1	3.7	AB	"pattern {B [form=""bogata""]; A [form=""bajno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22bogata%22%5D%3B%20A%20%5Bform%3D%22bajno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	bogata	16.03	16.03	0.40	12.68	1.00	7.65
bakreno <advmod rdečo	bakreno	rdečo																																				1	3.7	AB	"pattern {B [form=""rdečo""]; A [form=""bakreno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22rde%C4%8Do%22%5D%3B%20A%20%5Bform%3D%22bakreno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	rdečo	15.44	15.44	0.29	12.19	1.00	7.30
bančne >conj (in <cc zavarovalniške)	bančne	in	zavarovalniške																																			1	3.7	ABC	"pattern {A [form=""bančne""]; C [form=""zavarovalniške""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22ban%C4%8Dne%22%5D%3B%20C%20%5Bform%3D%22zavarovalni%C5%A1ke%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	bančne	21.52	21.52	0.00	3.05	1.00	10.96
belgijsko <advmod plavega	belgijsko	plavega																																				1	3.7	AB	"pattern {B [form=""plavega""]; A [form=""belgijsko""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22plavega%22%5D%3B%20A%20%5Bform%3D%22belgijsko%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	plavega	17.03	17.03	0.67	13.42	1.00	8.25
belih >conj (intenzivno <advmod rožnatih) >conj (ali <cc škrlatnih)	belih	intenzivno	rožnatih	ali	škrlatnih																																	1	3.7	ABCDE	"pattern {A [form=""belih""]; C [form=""rožnatih""]; B [form=""intenzivno""]; E [form=""škrlatnih""]; D [form=""ali""]; A -[conj]-> C; C -[advmod]-> B; A -[conj]-> E; E -[cc]-> D; A << C; C >> B; A << E; E >> D} without {A -> X0} without {C -> X1} without {B -> X2} without {E -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22belih%22%5D%3B%20C%20%5Bform%3D%22ro%C5%BEnatih%22%5D%3B%20B%20%5Bform%3D%22intenzivno%22%5D%3B%20E%20%5Bform%3D%22%C5%A1krlatnih%22%5D%3B%20D%20%5Bform%3D%22ali%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20D%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BE%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	belih	56.50	56.50	0.01	6.69	1.00	32.02
belo >conj zelena	belo	zelena																																				1	3.7	AB	"pattern {A [form=""belo""]; B [form=""zelena""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22belo%22%5D%3B%20B%20%5Bform%3D%22zelena%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	belo	12.54	12.54	0.14	11.19	1.00	5.55
besedna >conj čustvena >conj (ali <cc celo <advmod fizična)	besedna	čustvena	ali	celo	fizična																																	1	3.7	ABCDE	"pattern {A [form=""besedna""]; B [form=""čustvena""]; E [form=""fizična""]; C [form=""ali""]; D [form=""celo""]; A -[conj]-> B; A -[conj]-> E; E -[cc]-> C; E -[advmod]-> D; A << B; A << E; E >> C; E >> D} without {A -> X0} without {B -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22besedna%22%5D%3B%20B%20%5Bform%3D%22%C4%8Dustvena%22%5D%3B%20E%20%5Bform%3D%22fizi%C4%8Dna%22%5D%3B%20C%20%5Bform%3D%22ali%22%5D%3B%20D%20%5Bform%3D%22celo%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20E%3B%20E%20-%5Bcc%5D-%3E%20C%3B%20E%20-%5Badvmod%5D-%3E%20D%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	besedna	52.53	52.53	0.01	6.49	1.00	29.63
bin <nmod Ladnove	bin	Ladnove																																				1	3.7	AB	"pattern {B [form=""Ladnove""]; A [form=""bin""]; B -[nmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22Ladnove%22%5D%3B%20A%20%5Bform%3D%22bin%22%5D%3B%20B%20-%5Bnmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	Ladnove	15.71	15.71	0.33	12.42	1.00	7.46
bistrih >conj lepih >conj nadarjenih	bistrih	lepih	nadarjenih																																			1	3.7	ABC	"pattern {A [form=""bistrih""]; B [form=""lepih""]; C [form=""nadarjenih""]; A -[conj]-> B; A -[conj]-> C; A << B; A << C} without {A -> X0} without {B -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22bistrih%22%5D%3B%20B%20%5Bform%3D%22lepih%22%5D%3B%20C%20%5Bform%3D%22nadarjenih%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	bistrih	33.05	33.05	0.30	12.26	1.00	17.90
bistveno <advmod novega	bistveno	novega																																				1	3.7	AB	"pattern {B [form=""novega""]; A [form=""bistveno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22novega%22%5D%3B%20A%20%5Bform%3D%22bistveno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	novega	7.30	7.30	0.02	8.62	0.99	2.41
bistveno <advmod usodnejše	bistveno	usodnejše																																				1	3.7	AB	"pattern {B [form=""usodnejše""]; A [form=""bistveno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22usodnej%C5%A1e%22%5D%3B%20A%20%5Bform%3D%22bistveno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	usodnejše	12.86	12.86	0.05	9.79	1.00	5.74
bistveno <advmod varnejši >obl (od <case najbolj <advmod toksičnega)	bistveno	varnejši	od	najbolj	toksičnega																																	1	3.7	ABCDE	"pattern {B [form=""varnejši""]; A [form=""bistveno""]; E [form=""toksičnega""]; C [form=""od""]; D [form=""najbolj""]; B -[advmod]-> A; B -[obl]-> E; E -[case]-> C; E -[advmod]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22varnej%C5%A1i%22%5D%3B%20A%20%5Bform%3D%22bistveno%22%5D%3B%20E%20%5Bform%3D%22toksi%C4%8Dnega%22%5D%3B%20C%20%5Bform%3D%22od%22%5D%3B%20D%20%5Bform%3D%22najbolj%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Bobl%5D-%3E%20E%3B%20E%20-%5Bcase%5D-%3E%20C%3B%20E%20-%5Badvmod%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	varnejši	48.84	48.84	0.01	6.54	1.00	27.41
bistveno <advmod večjem >advcl (kot <mark je <cop slovenski)	bistveno	večjem	kot	je	slovenski																																	1	3.7	ABCDE	"pattern {B [form=""večjem""]; A [form=""bistveno""]; E [form=""slovenski""]; C [form=""kot""]; D [form=""je""]; B -[advmod]-> A; B -[advcl]-> E; E -[mark]-> C; E -[cop]-> D; B >> A; B << E; E >> C; E >> D} without {B -> X0} without {A -> X1} without {E -> X2} without {C -> X3} without {D -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ve%C4%8Djem%22%5D%3B%20A%20%5Bform%3D%22bistveno%22%5D%3B%20E%20%5Bform%3D%22slovenski%22%5D%3B%20C%20%5Bform%3D%22kot%22%5D%3B%20D%20%5Bform%3D%22je%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20-%5Badvcl%5D-%3E%20E%3B%20E%20-%5Bmark%5D-%3E%20C%3B%20E%20-%5Bcop%5D-%3E%20D%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20E%3B%20E%20%3E%3E%20C%3B%20E%20%3E%3E%20D%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BE%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D	5	večjem	35.48	35.48	0.00	3.11	1.00	19.36
blagih >conj (do <case zmernih)	blagih	do	zmernih																																			1	3.7	ABC	"pattern {A [form=""blagih""]; C [form=""zmernih""]; B [form=""do""]; A -[conj]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22blagih%22%5D%3B%20C%20%5Bform%3D%22zmernih%22%5D%3B%20B%20%5Bform%3D%22do%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	blagih	25.12	25.12	0.00	6.22	1.00	13.12
blazno <advmod zagnani	blazno	zagnani																																				1	3.7	AB	"pattern {B [form=""zagnani""]; A [form=""blazno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zagnani%22%5D%3B%20A%20%5Bform%3D%22blazno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zagnani	17.03	17.03	0.67	13.42	1.00	8.25
bledo >conj mehko >conj vodeno	bledo	mehko	vodeno																																			1	3.7	ABC	"pattern {A [form=""bledo""]; B [form=""mehko""]; C [form=""vodeno""]; A -[conj]-> B; A -[conj]-> C; A << B; A << C} without {A -> X0} without {B -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22bledo%22%5D%3B%20B%20%5Bform%3D%22mehko%22%5D%3B%20C%20%5Bform%3D%22vodeno%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	bledo	32.15	32.15	0.33	12.42	1.00	17.35
bleščeči >expl se	bleščeči	se																																				1	3.7	AB	"pattern {A [form=""bleščeči""]; B [form=""se""]; A -[expl]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22ble%C5%A1%C4%8De%C4%8Di%22%5D%3B%20B%20%5Bform%3D%22se%22%5D%3B%20A%20-%5Bexpl%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	bleščeči	6.27	6.27	0.00	3.24	0.99	1.80
bližajočem >expl se	bližajočem	se																																				1	3.7	AB	"pattern {A [form=""bližajočem""]; B [form=""se""]; A -[expl]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22bli%C5%BEajo%C4%8Dem%22%5D%3B%20B%20%5Bform%3D%22se%22%5D%3B%20A%20-%5Bexpl%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	bližajočem	6.27	6.27	0.00	3.24	0.99	1.80
bližajoči >nmod se	bližajoči	se																																				1	3.7	AB	"pattern {A [form=""bližajoči""]; B [form=""se""]; A -[nmod]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22bli%C5%BEajo%C4%8Di%22%5D%3B%20B%20%5Bform%3D%22se%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	bližajoči	6.27	6.27	0.00	3.24	0.99	1.80
