Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
((nearly <advmod one) <nummod year) <obl:unmarked ago	nearly	one	year	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""year""]; B [form=""one""]; A [form=""nearly""]; D -[obl:unmarked]-> C; C -[nummod]-> B; B -[advmod]-> A; D >> C; C >> B; B >> A} without {D -> X0} without {C -> X1} without {B -> X2} without {A -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22year%22%5D%3B%20B%20%5Bform%3D%22one%22%5D%3B%20A%20%5Bform%3D%22nearly%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BA%20-%3E%20X3%7D	4	ago	27.39	27.39	0.01	6.59	1.00	14.49
((some <advmod 5,000) <nummod years) <obl:unmarked ago	some	5,000	years	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""years""]; B [form=""5,000""]; A [form=""some""]; D -[obl:unmarked]-> C; C -[nummod]-> B; B -[advmod]-> A; D >> C; C >> B; B >> A} without {D -> X0} without {C -> X1} without {B -> X2} without {A -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22years%22%5D%3B%20B%20%5Bform%3D%225%2C000%22%5D%3B%20A%20%5Bform%3D%22some%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BA%20-%3E%20X3%7D	4	ago	30.08	30.08	0.01	7.03	1.00	16.11
((three >conj four) <nummod weeks) <obl:unmarked ago	three	four	weeks	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""weeks""]; A [form=""three""]; B [form=""four""]; D -[obl:unmarked]-> C; C -[nummod]-> A; A -[conj]-> B; D >> C; C >> A; A << B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22weeks%22%5D%3B%20A%20%5Bform%3D%22three%22%5D%3B%20B%20%5Bform%3D%22four%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bnummod%5D-%3E%20A%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20A%20%3C%3C%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	30.19	30.19	0.02	8.10	1.00	16.17
(1 >nmod (– <case 0)) <obl:unmarked up	1	–	0	up																				1	4.7	ABCD	"pattern {D [form=""up""]; A [form=""1""]; C [form=""0""]; B [form=""–""]; D -[obl:unmarked]-> A; A -[nmod]-> C; C -[case]-> B; D >> A; A << C; C >> B} without {D -> X0} without {A -> X1} without {C -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22up%22%5D%3B%20A%20%5Bform%3D%221%22%5D%3B%20C%20%5Bform%3D%220%22%5D%3B%20B%20%5Bform%3D%22%E2%80%93%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20A%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20D%20%3E%3E%20A%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	up	25.36	25.36	0.00	6.34	1.00	13.27
(10 <nummod months) <obl:unmarked ago	10	months	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""months""]; A [form=""10""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22months%22%5D%3B%20A%20%5Bform%3D%2210%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	18.44	18.44	0.02	8.35	1.00	9.10
(2 <nummod weeks) <obl:unmarked ago	2	weeks	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""weeks""]; A [form=""2""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22weeks%22%5D%3B%20A%20%5Bform%3D%222%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	18.27	18.27	0.02	8.01	1.00	9.00
(2,360 <nummod meters) <obl:unmarked up	2,360	meters	up																					1	4.7	ABC	"pattern {C [form=""up""]; B [form=""meters""]; A [form=""2,360""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22up%22%5D%3B%20B%20%5Bform%3D%22meters%22%5D%3B%20A%20%5Bform%3D%222%2C360%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	up	24.14	24.14	0.01	7.11	1.00	12.53
(33 <nummod months) <obl:unmarked ago	33	months	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""months""]; A [form=""33""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22months%22%5D%3B%20A%20%5Bform%3D%2233%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	21.96	21.96	0.03	8.96	1.00	11.22
(40 <nummod %) <obl:unmarked more	40	%	more																					1	4.7	ABC	"pattern {C [form=""more""]; B [form=""%""]; A [form=""40""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22more%22%5D%3B%20B%20%5Bform%3D%22%25%22%5D%3B%20A%20%5Bform%3D%2240%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	more	18.50	18.50	0.01	7.05	1.00	9.14
(45 <nummod minutes) <obl:unmarked ahead >obl (of <case (New >flat Zealand) <compound time)	45	minutes	ahead	of	New	Zealand	time																	1	4.7	ABCDEFG	"pattern {C [form=""ahead""]; B [form=""minutes""]; A [form=""45""]; G [form=""time""]; D [form=""of""]; E [form=""New""]; F [form=""Zealand""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C -[obl]-> G; G -[case]-> D; G -[compound]-> E; E -[flat]-> F; C >> B; B >> A; C << G; G >> D; G >> E; E << F} without {C -> X0} without {B -> X1} without {A -> X2} without {G -> X3} without {D -> X4} without {E -> X5} without {F -> X6}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ahead%22%5D%3B%20B%20%5Bform%3D%22minutes%22%5D%3B%20A%20%5Bform%3D%2245%22%5D%3B%20G%20%5Bform%3D%22time%22%5D%3B%20D%20%5Bform%3D%22of%22%5D%3B%20E%20%5Bform%3D%22New%22%5D%3B%20F%20%5Bform%3D%22Zealand%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20-%5Bobl%5D-%3E%20G%3B%20G%20-%5Bcase%5D-%3E%20D%3B%20G%20-%5Bcompound%5D-%3E%20E%3B%20E%20-%5Bflat%5D-%3E%20F%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20C%20%3C%3C%20G%3B%20G%20%3E%3E%20D%3B%20G%20%3E%3E%20E%3B%20E%20%3C%3C%20F%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BG%20-%3E%20X3%7D%20without%20%7BD%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D%20without%20%7BF%20-%3E%20X6%7D	7	ahead	61.77	61.77	0.00	4.31	1.00	35.19
(6 <nummod inches) <obl:unmarked apart	6	inches	apart																					1	4.7	ABC	"pattern {C [form=""apart""]; B [form=""inches""]; A [form=""6""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22apart%22%5D%3B%20B%20%5Bform%3D%22inches%22%5D%3B%20A%20%5Bform%3D%226%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	apart	22.93	22.93	0.04	9.36	1.00	11.81
(A <det day) <obl:unmarked after	A	day	after																					1	4.7	ABC	"pattern {C [form=""after""]; B [form=""day""]; A [form=""A""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22after%22%5D%3B%20B%20%5Bform%3D%22day%22%5D%3B%20A%20%5Bform%3D%22A%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	after	13.51	13.51	0.01	6.71	1.00	6.13
(A <det few <amod hours) <obl:unmarked ago	A	few	hours	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""hours""]; A [form=""A""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22hours%22%5D%3B%20A%20%5Bform%3D%22A%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	28.51	28.51	0.01	7.63	1.00	15.17
(A <det few <amod moments) <obl:unmarked ago	A	few	moments	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""moments""]; A [form=""A""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22moments%22%5D%3B%20A%20%5Bform%3D%22A%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	31.44	31.44	0.01	7.78	1.00	16.93
(A <det few <amod months) <obl:unmarked ago	A	few	months	ago																				1	4.7	ABCD	"pattern {D [form=""ago""]; C [form=""months""]; A [form=""A""]; B [form=""few""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22ago%22%5D%3B%20C%20%5Bform%3D%22months%22%5D%3B%20A%20%5Bform%3D%22A%22%5D%3B%20B%20%5Bform%3D%22few%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	ago	28.18	28.18	0.01	7.59	1.00	14.96
(A <det year) <obl:unmarked later	A	year	later																					1	4.7	ABC	"pattern {C [form=""later""]; B [form=""year""]; A [form=""A""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22later%22%5D%3B%20B%20%5Bform%3D%22year%22%5D%3B%20A%20%5Bform%3D%22A%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	later	15.16	15.16	0.01	7.13	1.00	7.12
(Four <nummod minutes) <obl:unmarked later	Four	minutes	later																					1	4.7	ABC	"pattern {C [form=""later""]; B [form=""minutes""]; A [form=""Four""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22later%22%5D%3B%20B%20%5Bform%3D%22minutes%22%5D%3B%20A%20%5Bform%3D%22Four%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	later	21.09	21.09	0.02	8.65	1.00	10.69
(Long <amod years) <obl:unmarked ago	Long	years	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""years""]; A [form=""Long""]; C -[obl:unmarked]-> B; B -[amod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%22Long%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	21.02	21.02	0.01	7.93	1.00	10.66
(Not <advmod long) <advmod before	Not	long	before																					1	4.7	ABC	"pattern {C [form=""before""]; B [form=""long""]; A [form=""Not""]; C -[advmod]-> B; B -[advmod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22before%22%5D%3B%20B%20%5Bform%3D%22long%22%5D%3B%20A%20%5Bform%3D%22Not%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	before	16.80	16.80	0.01	7.46	1.00	8.12
(One <nummod year) <nmod:unmarked ago	One	year	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""year""]; A [form=""One""]; C -[nmod:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22year%22%5D%3B%20A%20%5Bform%3D%22One%22%5D%3B%20C%20-%5Bnmod%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	16.87	16.87	0.01	7.67	1.00	8.16
(Only <advmod a <det few <amod months) <obl:unmarked ago	Only	a	few	months	ago																			1	4.7	ABCDE	"pattern {E [form=""ago""]; D [form=""months""]; A [form=""Only""]; B [form=""a""]; C [form=""few""]; E -[obl:unmarked]-> D; D -[advmod]-> A; D -[det]-> B; D -[amod]-> C; E >> D; D >> A; D >> B; D >> C} without {E -> X0} without {D -> X1} without {A -> X2} without {B -> X3} without {C -> X4}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BE%20%5Bform%3D%22ago%22%5D%3B%20D%20%5Bform%3D%22months%22%5D%3B%20A%20%5Bform%3D%22Only%22%5D%3B%20B%20%5Bform%3D%22a%22%5D%3B%20C%20%5Bform%3D%22few%22%5D%3B%20E%20-%5Bobl%3Aunmarked%5D-%3E%20D%3B%20D%20-%5Badvmod%5D-%3E%20A%3B%20D%20-%5Bdet%5D-%3E%20B%3B%20D%20-%5Bamod%5D-%3E%20C%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20A%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BE%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D	5	ago	38.73	38.73	0.00	4.41	1.00	21.32
(Seventeen <nummod years) <obl:unmarked ago	Seventeen	years	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""years""]; A [form=""Seventeen""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%22Seventeen%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	21.61	21.61	0.01	7.93	1.00	11.01
(Six <nummod minutes) <obl:unmarked later	Six	minutes	later																					1	4.7	ABC	"pattern {C [form=""later""]; B [form=""minutes""]; A [form=""Six""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22later%22%5D%3B%20B%20%5Bform%3D%22minutes%22%5D%3B%20A%20%5Bform%3D%22Six%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	later	20.86	20.86	0.02	8.64	1.00	10.56
(Ten <nummod years) <obl:unmarked ago	Ten	years	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""years""]; A [form=""Ten""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%22Ten%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	20.28	20.28	0.01	7.91	1.00	10.21
(Three <nummod years) <nmod:unmarked ago	Three	years	ago																					1	4.7	ABC	"pattern {C [form=""ago""]; B [form=""years""]; A [form=""Three""]; C -[nmod:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%22Three%22%5D%3B%20C%20-%5Bnmod%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	18.80	18.80	0.01	7.85	1.00	9.32
(Two <nummod years) <obl:unmarked later	Two	years	later																					1	4.7	ABC	"pattern {C [form=""later""]; B [form=""years""]; A [form=""Two""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22later%22%5D%3B%20B%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%22Two%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	later	17.88	17.88	0.01	7.73	1.00	8.76
(a <det bit) <obl:unmarked better	a	bit	better																					1	4.7	ABC	"pattern {C [form=""better""]; B [form=""bit""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22better%22%5D%3B%20B%20%5Bform%3D%22bit%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	better	11.36	11.36	0.00	3.69	1.00	4.84
